	City	zipcode	paymentfrequency	maturitydate	current_days_past_due	last_repayment_date	amount_at_risk
68	12olki	19473	1271803.806	04/30/2024	-61 days	2021-06-16	1271803.806
69	12olki	19473	1271803.806	04/30/2024	-30 days	2021-06-16	1271803.806
70	12olki	19473	1271803.806	04/30/2024	0 days	2021-06-16	1271803.806
71	12olki	19473	1271803.806	04/30/2024	31 days	2021-06-16	1271803.806
72	12olki	19473	1271803.806	04/30/2024	-1005 days	2021-07-16	3815411.4180000005
73	12olki	19473	1271803.806	04/30/2024	30 days	2021-07-16	3815411.4180000005
74	12olki	19473	1271803.806	04/30/2024	0 days	2021-07-16	3815411.4180000005
75	12olki	19473	1271803.806	04/30/2024	-31 days	2021-07-16	3815411.4180000005
76	12olki	19473	1271803.806	04/30/2024	-62 days	2021-07-16	3815411.4180000005
77	12olki	19473	1271803.806	04/30/2024	-92 days	2021-07-16	3815411.4180000005
78	12olki	19473	1271803.806	04/30/2024	-123 days	2021-07-16	3815411.4180000005
79	12olki	19473	1271803.806	04/30/2024	-153 days	2021-07-16	3815411.4180000005
80	12olki	19473	1271803.806	04/30/2024	-184 days	2021-07-16	3815411.4180000005
81	12olki	19473	1271803.806	04/30/2024	-215 days	2021-07-16	3815411.4180000005
82	12olki	19473	1271803.806	04/30/2024	-243 days	2021-07-16	3815411.4180000005
83	12olki	19473	1271803.806	04/30/2024	-274 days	2021-07-16	3815411.4180000005
84	12olki	19473	1271803.806	04/30/2024	-304 days	2021-07-16	3815411.4180000005
85	12olki	19473	1271803.806	04/30/2024	-335 days	2021-07-16	3815411.4180000005
86	12olki	19473	1271803.806	04/30/2024	-365 days	2021-07-16	3815411.4180000005
87	12olki	19473	1271803.806	04/30/2024	-396 days	2021-07-16	3815411.4180000005
88	12olki	19473	1271803.806	04/30/2024	-427 days	2021-07-16	3815411.4180000005
89	12olki	19473	1271803.806	04/30/2024	-457 days	2021-07-16	3815411.4180000005
90	12olki	19473	1271803.806	04/30/2024	-488 days	2021-07-16	3815411.4180000005
91	12olki	19473	1271803.806	04/30/2024	-518 days	2021-07-16	3815411.4180000005
92	12olki	19473	1271803.806	04/30/2024	-549 days	2021-07-16	3815411.4180000005
93	12olki	19473	1271803.806	04/30/2024	-580 days	2021-07-16	3815411.4180000005
94	12olki	19473	1271803.806	04/30/2024	-608 days	2021-07-16	3815411.4180000005
95	12olki	19473	1271803.806	04/30/2024	-639 days	2021-07-16	3815411.4180000005
96	12olki	19473	1271803.806	04/30/2024	-669 days	2021-07-16	3815411.4180000005
97	12olki	19473	1271803.806	04/30/2024	-700 days	2021-07-16	3815411.4180000005
98	12olki	19473	1271803.806	04/30/2024	-730 days	2021-07-16	3815411.4180000005
99	12olki	19473	1271803.806	04/30/2024	-761 days	2021-07-16	3815411.4180000005
100	12olki	19473	1271803.806	04/30/2024	-792 days	2021-07-16	3815411.4180000005
101	12olki	19473	1271803.806	04/30/2024	-822 days	2021-07-16	3815411.4180000005
102	12olki	19473	1271803.806	04/30/2024	-853 days	2021-07-16	3815411.4180000005
103	12olki	19473	1271803.806	04/30/2024	-883 days	2021-07-16	3815411.4180000005
104	12olki	19473	1271803.806	04/30/2024	-914 days	2021-07-16	3815411.4180000005
105	12olki	19473	1271803.806	04/30/2024	-945 days	2021-07-16	3815411.4180000005
106	12olki	19473	1271803.806	04/30/2024	-974 days	2021-07-16	3815411.4180000005
107	12olki	19473	1271803.806	04/30/2024	61 days	2021-07-16	3815411.4180000005
108	12olki	19473	1271803.806	04/30/2024	-212 days	2021-08-16	7630822.836
109	12olki	19473	1271803.806	04/30/2024	-974 days	2021-08-16	7630822.836
110	12olki	19473	1271803.806	04/30/2024	-943 days	2021-08-16	7630822.836
111	12olki	19473	1271803.806	04/30/2024	-914 days	2021-08-16	7630822.836
112	12olki	19473	1271803.806	04/30/2024	-883 days	2021-08-16	7630822.836
113	12olki	19473	1271803.806	04/30/2024	-852 days	2021-08-16	7630822.836
114	12olki	19473	1271803.806	04/30/2024	-822 days	2021-08-16	7630822.836
115	12olki	19473	1271803.806	04/30/2024	-791 days	2021-08-16	7630822.836
116	12olki	19473	1271803.806	04/30/2024	-761 days	2021-08-16	7630822.836
117	12olki	19473	1271803.806	04/30/2024	-730 days	2021-08-16	7630822.836
118	12olki	19473	1271803.806	04/30/2024	-699 days	2021-08-16	7630822.836
119	12olki	19473	1271803.806	04/30/2024	-669 days	2021-08-16	7630822.836
120	12olki	19473	1271803.806	04/30/2024	-638 days	2021-08-16	7630822.836
121	12olki	19473	1271803.806	04/30/2024	-608 days	2021-08-16	7630822.836
122	12olki	19473	1271803.806	04/30/2024	-577 days	2021-08-16	7630822.836
123	12olki	19473	1271803.806	04/30/2024	-549 days	2021-08-16	7630822.836
124	12olki	19473	1271803.806	04/30/2024	-518 days	2021-08-16	7630822.836
125	12olki	19473	1271803.806	04/30/2024	-487 days	2021-08-16	7630822.836
126	12olki	19473	1271803.806	04/30/2024	-457 days	2021-08-16	7630822.836
127	12olki	19473	1271803.806	04/30/2024	-426 days	2021-08-16	7630822.836
128	12olki	19473	1271803.806	04/30/2024	-396 days	2021-08-16	7630822.836
129	12olki	19473	1271803.806	04/30/2024	-365 days	2021-08-16	7630822.836
130	12olki	19473	1271803.806	04/30/2024	-334 days	2021-08-16	7630822.836
131	12olki	19473	1271803.806	04/30/2024	-304 days	2021-08-16	7630822.836
132	12olki	19473	1271803.806	04/30/2024	-273 days	2021-08-16	7630822.836
133	12olki	19473	1271803.806	04/30/2024	-243 days	2021-08-16	7630822.836
134	12olki	19473	1271803.806	04/30/2024	-184 days	2021-08-16	7630822.836
135	12olki	19473	1271803.806	04/30/2024	-153 days	2021-08-16	7630822.836
136	12olki	19473	1271803.806	04/30/2024	-122 days	2021-08-16	7630822.836
137	12olki	19473	1271803.806	04/30/2024	-92 days	2021-08-16	7630822.836
138	12olki	19473	1271803.806	04/30/2024	-61 days	2021-08-16	7630822.836
139	12olki	19473	1271803.806	04/30/2024	-31 days	2021-08-16	7630822.836
140	12olki	19473	1271803.806	04/30/2024	0 days	2021-08-16	7630822.836
141	12olki	19473	1271803.806	04/30/2024	31 days	2021-08-16	7630822.836
142	12olki	19473	1271803.806	04/30/2024	61 days	2021-08-16	7630822.836
143	12olki	19473	1271803.806	04/30/2024	92 days	2021-08-16	7630822.836
144	12olki	19473	1271803.806	04/30/2024	123 days	2021-09-16	12718038.06
145	12olki	19473	1271803.806	04/30/2024	-943 days	2021-09-16	12718038.06
146	12olki	19473	1271803.806	04/30/2024	-912 days	2021-09-16	12718038.06
147	12olki	19473	1271803.806	04/30/2024	-883 days	2021-09-16	12718038.06
148	12olki	19473	1271803.806	04/30/2024	-852 days	2021-09-16	12718038.06
149	12olki	19473	1271803.806	04/30/2024	-821 days	2021-09-16	12718038.06
150	12olki	19473	1271803.806	04/30/2024	-791 days	2021-09-16	12718038.06
151	12olki	19473	1271803.806	04/30/2024	-760 days	2021-09-16	12718038.06
152	12olki	19473	1271803.806	04/30/2024	-730 days	2021-09-16	12718038.06
153	12olki	19473	1271803.806	04/30/2024	-699 days	2021-09-16	12718038.06
154	12olki	19473	1271803.806	04/30/2024	-668 days	2021-09-16	12718038.06
155	12olki	19473	1271803.806	04/30/2024	-638 days	2021-09-16	12718038.06
156	12olki	19473	1271803.806	04/30/2024	-607 days	2021-09-16	12718038.06
157	12olki	19473	1271803.806	04/30/2024	-577 days	2021-09-16	12718038.06
158	12olki	19473	1271803.806	04/30/2024	-546 days	2021-09-16	12718038.06
159	12olki	19473	1271803.806	04/30/2024	-518 days	2021-09-16	12718038.06
160	12olki	19473	1271803.806	04/30/2024	-487 days	2021-09-16	12718038.06
161	12olki	19473	1271803.806	04/30/2024	-456 days	2021-09-16	12718038.06
162	12olki	19473	1271803.806	04/30/2024	-426 days	2021-09-16	12718038.06
163	12olki	19473	1271803.806	04/30/2024	-395 days	2021-09-16	12718038.06
164	12olki	19473	1271803.806	04/30/2024	-365 days	2021-09-16	12718038.06
165	12olki	19473	1271803.806	04/30/2024	-334 days	2021-09-16	12718038.06
166	12olki	19473	1271803.806	04/30/2024	-303 days	2021-09-16	12718038.06
167	12olki	19473	1271803.806	04/30/2024	-273 days	2021-09-16	12718038.06
168	12olki	19473	1271803.806	04/30/2024	-242 days	2021-09-16	12718038.06
169	12olki	19473	1271803.806	04/30/2024	-212 days	2021-09-16	12718038.06
170	12olki	19473	1271803.806	04/30/2024	-181 days	2021-09-16	12718038.06
171	12olki	19473	1271803.806	04/30/2024	-153 days	2021-09-16	12718038.06
172	12olki	19473	1271803.806	04/30/2024	-122 days	2021-09-16	12718038.06
173	12olki	19473	1271803.806	04/30/2024	-91 days	2021-09-16	12718038.06
174	12olki	19473	1271803.806	04/30/2024	-61 days	2021-09-16	12718038.06
175	12olki	19473	1271803.806	04/30/2024	-30 days	2021-09-16	12718038.06
176	12olki	19473	1271803.806	04/30/2024	0 days	2021-09-16	12718038.06
177	12olki	19473	1271803.806	04/30/2024	31 days	2021-09-16	12718038.06
178	12olki	19473	1271803.806	04/30/2024	62 days	2021-09-16	12718038.06
179	12olki	19473	1271803.806	04/30/2024	92 days	2021-09-16	12718038.06
180	12olki	19473	1271803.806	04/30/2024	122 days	2021-10-16	19077057.090000004
181	12olki	19473	1271803.806	04/30/2024	-913 days	2021-10-16	19077057.090000004
182	12olki	19473	1271803.806	04/30/2024	-882 days	2021-10-16	19077057.090000004
183	12olki	19473	1271803.806	04/30/2024	-853 days	2021-10-16	19077057.090000004
184	12olki	19473	1271803.806	04/30/2024	-822 days	2021-10-16	19077057.090000004
185	12olki	19473	1271803.806	04/30/2024	-791 days	2021-10-16	19077057.090000004
186	12olki	19473	1271803.806	04/30/2024	-761 days	2021-10-16	19077057.090000004
187	12olki	19473	1271803.806	04/30/2024	-730 days	2021-10-16	19077057.090000004
188	12olki	19473	1271803.806	04/30/2024	-700 days	2021-10-16	19077057.090000004
189	12olki	19473	1271803.806	04/30/2024	-669 days	2021-10-16	19077057.090000004
190	12olki	19473	1271803.806	04/30/2024	-638 days	2021-10-16	19077057.090000004
191	12olki	19473	1271803.806	04/30/2024	-608 days	2021-10-16	19077057.090000004
192	12olki	19473	1271803.806	04/30/2024	-577 days	2021-10-16	19077057.090000004
193	12olki	19473	1271803.806	04/30/2024	-547 days	2021-10-16	19077057.090000004
194	12olki	19473	1271803.806	04/30/2024	-516 days	2021-10-16	19077057.090000004
195	12olki	19473	1271803.806	04/30/2024	-488 days	2021-10-16	19077057.090000004
196	12olki	19473	1271803.806	04/30/2024	-457 days	2021-10-16	19077057.090000004
197	12olki	19473	1271803.806	04/30/2024	-426 days	2021-10-16	19077057.090000004
198	12olki	19473	1271803.806	04/30/2024	-396 days	2021-10-16	19077057.090000004
199	12olki	19473	1271803.806	04/30/2024	-365 days	2021-10-16	19077057.090000004
200	12olki	19473	1271803.806	04/30/2024	-335 days	2021-10-16	19077057.090000004
201	12olki	19473	1271803.806	04/30/2024	-304 days	2021-10-16	19077057.090000004
202	12olki	19473	1271803.806	04/30/2024	-273 days	2021-10-16	19077057.090000004
203	12olki	19473	1271803.806	04/30/2024	-243 days	2021-10-16	19077057.090000004
204	12olki	19473	1271803.806	04/30/2024	-212 days	2021-10-16	19077057.090000004
205	12olki	19473	1271803.806	04/30/2024	-182 days	2021-10-16	19077057.090000004
206	12olki	19473	1271803.806	04/30/2024	-151 days	2021-10-16	19077057.090000004
207	12olki	19473	1271803.806	04/30/2024	-123 days	2021-10-16	19077057.090000004
208	12olki	19473	1271803.806	04/30/2024	-92 days	2021-10-16	19077057.090000004
209	12olki	19473	1271803.806	04/30/2024	-61 days	2021-10-16	19077057.090000004
210	12olki	19473	1271803.806	04/30/2024	-31 days	2021-10-16	19077057.090000004
211	12olki	19473	1271803.806	04/30/2024	0 days	2021-10-16	19077057.090000004
212	12olki	19473	1271803.806	04/30/2024	30 days	2021-10-16	19077057.090000004
213	12olki	19473	1271803.806	04/30/2024	61 days	2021-10-16	19077057.090000004
214	12olki	19473	1271803.806	04/30/2024	92 days	2021-10-16	19077057.090000004
215	12olki	19473	1271803.806	04/30/2024	153 days	2021-10-16	19077057.090000004
216	12olki	19473	1271803.806	04/30/2024	184 days	2021-11-16	26707879.926000014
217	12olki	19473	1271803.806	04/30/2024	-882 days	2021-11-16	26707879.926000014
218	12olki	19473	1271803.806	04/30/2024	-851 days	2021-11-16	26707879.926000014
219	12olki	19473	1271803.806	04/30/2024	-822 days	2021-11-16	26707879.926000014
220	12olki	19473	1271803.806	04/30/2024	-791 days	2021-11-16	26707879.926000014
221	12olki	19473	1271803.806	04/30/2024	-760 days	2021-11-16	26707879.926000014
222	12olki	19473	1271803.806	04/30/2024	-730 days	2021-11-16	26707879.926000014
223	12olki	19473	1271803.806	04/30/2024	-699 days	2021-11-16	26707879.926000014
224	12olki	19473	1271803.806	04/30/2024	-669 days	2021-11-16	26707879.926000014
225	12olki	19473	1271803.806	04/30/2024	-638 days	2021-11-16	26707879.926000014
226	12olki	19473	1271803.806	04/30/2024	-607 days	2021-11-16	26707879.926000014
227	12olki	19473	1271803.806	04/30/2024	-577 days	2021-11-16	26707879.926000014
228	12olki	19473	1271803.806	04/30/2024	-546 days	2021-11-16	26707879.926000014
229	12olki	19473	1271803.806	04/30/2024	-516 days	2021-11-16	26707879.926000014
230	12olki	19473	1271803.806	04/30/2024	-485 days	2021-11-16	26707879.926000014
231	12olki	19473	1271803.806	04/30/2024	-457 days	2021-11-16	26707879.926000014
232	12olki	19473	1271803.806	04/30/2024	-426 days	2021-11-16	26707879.926000014
233	12olki	19473	1271803.806	04/30/2024	-395 days	2021-11-16	26707879.926000014
234	12olki	19473	1271803.806	04/30/2024	-365 days	2021-11-16	26707879.926000014
235	12olki	19473	1271803.806	04/30/2024	-334 days	2021-11-16	26707879.926000014
236	12olki	19473	1271803.806	04/30/2024	-304 days	2021-11-16	26707879.926000014
237	12olki	19473	1271803.806	04/30/2024	-273 days	2021-11-16	26707879.926000014
238	12olki	19473	1271803.806	04/30/2024	-242 days	2021-11-16	26707879.926000014
239	12olki	19473	1271803.806	04/30/2024	-212 days	2021-11-16	26707879.926000014
240	12olki	19473	1271803.806	04/30/2024	-181 days	2021-11-16	26707879.926000014
241	12olki	19473	1271803.806	04/30/2024	-151 days	2021-11-16	26707879.926000014
242	12olki	19473	1271803.806	04/30/2024	-120 days	2021-11-16	26707879.926000014
243	12olki	19473	1271803.806	04/30/2024	-92 days	2021-11-16	26707879.926000014
244	12olki	19473	1271803.806	04/30/2024	-61 days	2021-11-16	26707879.926000014
245	12olki	19473	1271803.806	04/30/2024	-30 days	2021-11-16	26707879.926000014
246	12olki	19473	1271803.806	04/30/2024	0 days	2021-11-16	26707879.926000014
247	12olki	19473	1271803.806	04/30/2024	31 days	2021-11-16	26707879.926000014
248	12olki	19473	1271803.806	04/30/2024	61 days	2021-11-16	26707879.926000014
249	12olki	19473	1271803.806	04/30/2024	92 days	2021-11-16	26707879.926000014
250	12olki	19473	1271803.806	04/30/2024	123 days	2021-11-16	26707879.926000014
251	12olki	19473	1271803.806	04/30/2024	153 days	2021-11-16	26707879.926000014
252	12olki	19473	1271803.806	04/30/2024	-62 days	2021-12-16	35610506.568000026
253	12olki	19473	1271803.806	04/30/2024	-852 days	2021-12-16	35610506.568000026
254	12olki	19473	1271803.806	04/30/2024	-821 days	2021-12-16	35610506.568000026
255	12olki	19473	1271803.806	04/30/2024	-792 days	2021-12-16	35610506.568000026
256	12olki	19473	1271803.806	04/30/2024	-761 days	2021-12-16	35610506.568000026
257	12olki	19473	1271803.806	04/30/2024	-730 days	2021-12-16	35610506.568000026
258	12olki	19473	1271803.806	04/30/2024	-700 days	2021-12-16	35610506.568000026
259	12olki	19473	1271803.806	04/30/2024	-669 days	2021-12-16	35610506.568000026
260	12olki	19473	1271803.806	04/30/2024	-639 days	2021-12-16	35610506.568000026
261	12olki	19473	1271803.806	04/30/2024	-608 days	2021-12-16	35610506.568000026
262	12olki	19473	1271803.806	04/30/2024	-577 days	2021-12-16	35610506.568000026
263	12olki	19473	1271803.806	04/30/2024	-547 days	2021-12-16	35610506.568000026
264	12olki	19473	1271803.806	04/30/2024	-516 days	2021-12-16	35610506.568000026
265	12olki	19473	1271803.806	04/30/2024	-486 days	2021-12-16	35610506.568000026
266	12olki	19473	1271803.806	04/30/2024	-455 days	2021-12-16	35610506.568000026
267	12olki	19473	1271803.806	04/30/2024	-427 days	2021-12-16	35610506.568000026
268	12olki	19473	1271803.806	04/30/2024	-396 days	2021-12-16	35610506.568000026
269	12olki	19473	1271803.806	04/30/2024	-365 days	2021-12-16	35610506.568000026
270	12olki	19473	1271803.806	04/30/2024	-335 days	2021-12-16	35610506.568000026
271	12olki	19473	1271803.806	04/30/2024	-304 days	2021-12-16	35610506.568000026
272	12olki	19473	1271803.806	04/30/2024	-274 days	2021-12-16	35610506.568000026
273	12olki	19473	1271803.806	04/30/2024	-243 days	2021-12-16	35610506.568000026
274	12olki	19473	1271803.806	04/30/2024	-212 days	2021-12-16	35610506.568000026
275	12olki	19473	1271803.806	04/30/2024	-182 days	2021-12-16	35610506.568000026
276	12olki	19473	1271803.806	04/30/2024	-151 days	2021-12-16	35610506.568000026
277	12olki	19473	1271803.806	04/30/2024	-121 days	2021-12-16	35610506.568000026
278	12olki	19473	1271803.806	04/30/2024	-90 days	2021-12-16	35610506.568000026
279	12olki	19473	1271803.806	04/30/2024	-31 days	2021-12-16	35610506.568000026
280	12olki	19473	1271803.806	04/30/2024	0 days	2021-12-16	35610506.568000026
281	12olki	19473	1271803.806	04/30/2024	30 days	2021-12-16	35610506.568000026
282	12olki	19473	1271803.806	04/30/2024	61 days	2021-12-16	35610506.568000026
283	12olki	19473	1271803.806	04/30/2024	91 days	2021-12-16	35610506.568000026
284	12olki	19473	1271803.806	04/30/2024	122 days	2021-12-16	35610506.568000026
285	12olki	19473	1271803.806	04/30/2024	153 days	2021-12-16	35610506.568000026
286	12olki	19473	1271803.806	04/30/2024	183 days	2021-12-16	35610506.568000026
287	12olki	19473	1271803.806	04/30/2024	214 days	2021-12-16	35610506.568000026
288	12olki	19473	1271803.806	04/30/2024	245 days	2022-01-16	45784937.01600004
289	12olki	19473	1271803.806	04/30/2024	-821 days	2022-01-16	45784937.01600004
290	12olki	19473	1271803.806	04/30/2024	-790 days	2022-01-16	45784937.01600004
291	12olki	19473	1271803.806	04/30/2024	-761 days	2022-01-16	45784937.01600004
292	12olki	19473	1271803.806	04/30/2024	-730 days	2022-01-16	45784937.01600004
293	12olki	19473	1271803.806	04/30/2024	-699 days	2022-01-16	45784937.01600004
294	12olki	19473	1271803.806	04/30/2024	-669 days	2022-01-16	45784937.01600004
295	12olki	19473	1271803.806	04/30/2024	-638 days	2022-01-16	45784937.01600004
296	12olki	19473	1271803.806	04/30/2024	-608 days	2022-01-16	45784937.01600004
297	12olki	19473	1271803.806	04/30/2024	-577 days	2022-01-16	45784937.01600004
298	12olki	19473	1271803.806	04/30/2024	-546 days	2022-01-16	45784937.01600004
299	12olki	19473	1271803.806	04/30/2024	-516 days	2022-01-16	45784937.01600004
300	12olki	19473	1271803.806	04/30/2024	-485 days	2022-01-16	45784937.01600004
301	12olki	19473	1271803.806	04/30/2024	-455 days	2022-01-16	45784937.01600004
302	12olki	19473	1271803.806	04/30/2024	-424 days	2022-01-16	45784937.01600004
303	12olki	19473	1271803.806	04/30/2024	-396 days	2022-01-16	45784937.01600004
304	12olki	19473	1271803.806	04/30/2024	-365 days	2022-01-16	45784937.01600004
305	12olki	19473	1271803.806	04/30/2024	-334 days	2022-01-16	45784937.01600004
306	12olki	19473	1271803.806	04/30/2024	-304 days	2022-01-16	45784937.01600004
307	12olki	19473	1271803.806	04/30/2024	-273 days	2022-01-16	45784937.01600004
308	12olki	19473	1271803.806	04/30/2024	-243 days	2022-01-16	45784937.01600004
309	12olki	19473	1271803.806	04/30/2024	-212 days	2022-01-16	45784937.01600004
310	12olki	19473	1271803.806	04/30/2024	-181 days	2022-01-16	45784937.01600004
311	12olki	19473	1271803.806	04/30/2024	-151 days	2022-01-16	45784937.01600004
312	12olki	19473	1271803.806	04/30/2024	-120 days	2022-01-16	45784937.01600004
313	12olki	19473	1271803.806	04/30/2024	-90 days	2022-01-16	45784937.01600004
314	12olki	19473	1271803.806	04/30/2024	-59 days	2022-01-16	45784937.01600004
315	12olki	19473	1271803.806	04/30/2024	-31 days	2022-01-16	45784937.01600004
316	12olki	19473	1271803.806	04/30/2024	0 days	2022-01-16	45784937.01600004
317	12olki	19473	1271803.806	04/30/2024	31 days	2022-01-16	45784937.01600004
318	12olki	19473	1271803.806	04/30/2024	61 days	2022-01-16	45784937.01600004
319	12olki	19473	1271803.806	04/30/2024	92 days	2022-01-16	45784937.01600004
320	12olki	19473	1271803.806	04/30/2024	122 days	2022-01-16	45784937.01600004
321	12olki	19473	1271803.806	04/30/2024	153 days	2022-01-16	45784937.01600004
322	12olki	19473	1271803.806	04/30/2024	184 days	2022-01-16	45784937.01600004
323	12olki	19473	1271803.806	04/30/2024	214 days	2022-01-16	45784937.01600004
324	12olki	19473	1271803.806	04/30/2024	-790 days	2022-02-16	57231171.270000055
325	12olki	19473	1271803.806	04/30/2024	245 days	2022-02-16	57231171.270000055
326	12olki	19473	1271803.806	04/30/2024	215 days	2022-02-16	57231171.270000055
327	12olki	19473	1271803.806	04/30/2024	184 days	2022-02-16	57231171.270000055
328	12olki	19473	1271803.806	04/30/2024	153 days	2022-02-16	57231171.270000055
329	12olki	19473	1271803.806	04/30/2024	123 days	2022-02-16	57231171.270000055
330	12olki	19473	1271803.806	04/30/2024	92 days	2022-02-16	57231171.270000055
331	12olki	19473	1271803.806	04/30/2024	62 days	2022-02-16	57231171.270000055
332	12olki	19473	1271803.806	04/30/2024	31 days	2022-02-16	57231171.270000055
333	12olki	19473	1271803.806	04/30/2024	0 days	2022-02-16	57231171.270000055
334	12olki	19473	1271803.806	04/30/2024	-28 days	2022-02-16	57231171.270000055
335	12olki	19473	1271803.806	04/30/2024	-59 days	2022-02-16	57231171.270000055
336	12olki	19473	1271803.806	04/30/2024	-89 days	2022-02-16	57231171.270000055
337	12olki	19473	1271803.806	04/30/2024	-120 days	2022-02-16	57231171.270000055
338	12olki	19473	1271803.806	04/30/2024	-150 days	2022-02-16	57231171.270000055
339	12olki	19473	1271803.806	04/30/2024	-181 days	2022-02-16	57231171.270000055
